point_id,latitude,longitude
26430,51.51789104,-0.109021
26217,51.51372109,0.00135075
17579,51.520471,-0.26430218
28411,51.46055334,-0.15645009
26182,51.52565506,-0.07770415
8664,51.45731075,0.14513283
6458,51.57310296,-0.21207729
6243,51.44090149,0.04176492
36269,51.46347816,-0.11474066
7470,51.62165383,-0.17650934
6644,51.53774723,0.00572129
46122,51.47853144,-0.36843009
16401,51.51684336,-0.12780184
37827,51.52045647,-0.11756342
26649,51.59005677,-0.10290787
17023,51.55038054,-0.21989169
28214,51.51585873,-0.10623699
6071,51.51822828,-0.00983855
26790,51.36271453,-0.06841704
18619,51.40052685,-0.07317958
46671,51.57355221,0.01537832
28690,51.57567952,0.17769087
28773,51.54994586,-0.00297338
16756,51.38348944,-0.10594377
26078,51.52147915,-0.09734039
6657,51.57268922,0.06498279
6751,51.51295683,-0.10418114
8670,51.60566995,-0.049344
17525,51.45428462,-0.31731995
17014,51.55259687,-0.29654374
6884,51.47240558,-0.20161866
7652,51.56103186,-0.3328741
26199,51.60675441,0.01944699
16864,51.43059561,-0.36150662
38368,51.53394681,-0.13792837
26114,51.50892987,-0.13684504
17429,51.6733902,-0.0389137
18460,51.48802787,-0.19414797
16140,51.60118802,-0.26801189
8477,51.4232861,-0.1427028
8544,51.4580469,-0.19476955
27675,51.58502149,-0.26934829
28796,51.42895674,-0.1042793
6755,51.45096089,0.03213854
16625,51.63124298,-0.12309471
6756,51.44054414,-0.05897717
26271,51.36893617,-0.11803769
6108,51.48569524,-0.10891335
28523,51.45439729,-0.37500462
